Epoch	Train Loss	Train Accuracy	Val Loss	Val Accuracy
1	0.35465148080027464	0.8862123678625152	0.2115609227350125	0.9285989037407443
2	0.15961271589462386	0.9452904448886233	0.586082199215889	0.8345513991729974
3	0.11146612087576326	0.9618578581878876	0.3000714748753951	0.9122992595441869
4	0.09103464374192334	0.9696264089513487	0.19497436758990472	0.9394653332051158
5	0.07145766155151294	0.9760349481753179	0.1412180093324815	0.9531685739013367
6	0.06313716443620587	0.9787549712543016	0.12228676597659405	0.9613905183190692
7	0.051375006429687856	0.9829174308145645	0.1383685185144154	0.9574478315222618
8	0.04977976800290265	0.9831647056399266	0.13272860198066785	0.9592749302817578
9	0.03265867175278837	0.9892641513321931	0.11732542650281595	0.9648043081065487
10	0.02942350189477924	0.9902738568690885	0.1648206465304471	0.955284161938648
11	0.028069856660366942	0.991015681345175	0.14020725039514498	0.9614866814116741
12	0.02249669488316777	0.9928908487708381	0.1668392252499381	0.9530724108087316
13	0.027576539032960343	0.9914484122895588	0.20074177663056897	0.9520626983363785
14	0.01855689911374639	0.9941478291330956	0.12477000467201624	0.969564381190499
